Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry
Ipca Laboratories Ltd.,IPCALAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
J.K. Cement Ltd.,JKCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
JBM Auto Ltd.,JBMA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
JK Tyre & Industries Ltd.,JKTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
JM Financial Ltd.,JMFINANCIL,Financial Services,Financial Services,Finance,Holding Company
JSW Energy Ltd.,JSWENERGY,Utilities,Power,Power,Power Generation
JSW Holdings Ltd.,JSWHL,Financial Services,Financial Services,Finance,Investment Company
JSW Infrastructure Ltd.,JSWINFRA,Services,Services,Transport Infrastructure,Port & Port services
JSW Steel Ltd.,JSWSTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Jaiprakash Power Ventures Ltd.,JPPOWER,Utilities,Power,Power,Power Generation
Jammu & Kashmir Bank Ltd.,J&KBANK,,,,
Jindal Saw Ltd.,JINDALSAW,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
Jindal Stainless Ltd.,JSL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Jindal Steel & Power Ltd.,JINDALSTEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Jio Financial Services Ltd.,JIOFIN,Financial Services,Financial Services,Finance,Investment Company
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
Jubilant Ingrevia Ltd.,JUBLINGREA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jupiter Wagons Ltd.,JWL,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons
Justdial Ltd.,JUSTDIAL,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
Jyoti CNC Automation Ltd.,JYOTICNC,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
K.P.R. Mill Ltd.,KPRMILL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KEI Industries Ltd.,KEI,Industrials,Capital Goods,Industrial Products,Cables - Electricals
KNR Constructions Ltd.,KNRCON,Industrials,Construction,Construction,Civil Construction
KPIT Technologies Ltd.,KPITTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
Kalpataru Projects International Ltd.,KPIL,Industrials,Construction,Construction,Civil Construction
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,Financial Services,Banks,Private Sector Bank
Kaynes Technology India Ltd.,KAYNES,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
Kec International Ltd.,KEC,Industrials,Construction,Construction,Civil Construction
Kfin Technologies Ltd.,KFINTECH,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries
Kirloskar Brothers Ltd.,KIRLOSBROS,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines
Kirloskar Oil Eng Ltd.,KIRLOSENG,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,Financial Services,Banks,Private Sector Bank
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,Healthcare,Healthcare Services,Hospital
L&T Finance Ltd.,LTF,Financial Services,Financial Services,Finance,Investment Company
L&T Technology Services Ltd.,LTTS,Information Technology,Information Technology,IT - Services,IT Enabled Services
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,Financial Services,Finance,Housing Finance Company
LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
LTIMindtree Ltd.,LTIM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Larsen & Toubro Ltd.,LT,Industrials,Construction,Construction,Civil Construction
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Laurus Labs Ltd.,LAURUSLABS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
Life Insurance Corporation of India,LICI,Financial Services,Financial Services,Insurance,Life Insurance
Linde India Ltd.,LINDEINDIA,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
Lloyds Metals And Energy Ltd.,LLOYDSME,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
Lodha Developers Ltd.,LODHA,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Lupin Ltd.,LUPIN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MMTC Ltd.,MMTC,Services,Services,Commercial Services & Supplies,Trading & Distributors
MRF Ltd.,MRF,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
Mahanagar Gas Ltd.,MGL,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
Maharashtra Seamless Ltd.,MAHSEAMLES,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,,,,
Mahindra & Mahindra Ltd.,M&M,,,,
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
Mankind Pharma Ltd.,MANKIND,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Marico Ltd.,MARICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
Maruti Suzuki India Ltd.,MARUTI,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
Mastek Ltd.,MASTEK,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Max Financial Services Ltd.,MFSL,Financial Services,Financial Services,Insurance,Life Insurance
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,Healthcare,Healthcare Services,Hospital
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
Minda Corporation Ltd.,MINDACORP,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Motherson Sumi Wiring India Ltd.,MSUMI,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
MphasiS Ltd.,MPHASIS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NBCC (India) Ltd.,NBCC,Industrials,Construction,Construction,Civil Construction
NCC Ltd.,NCC,Industrials,Construction,Construction,Civil Construction
NHPC Ltd.,NHPC,Utilities,Power,Power,Power Generation
NLC India Ltd.,NLCINDIA,Utilities,Power,Power,Power Generation
NMDC Ltd.,NMDC,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
NMDC Steel Ltd.,NSLNISP,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
NTPC Green Energy Ltd.,NTPCGREEN,Utilities,Power,Power,Power Generation
NTPC Ltd.,NTPC,Utilities,Power,Power,Power Generation
Narayana Hrudayalaya Ltd.,NH,Healthcare,Healthcare,Healthcare Services,Hospital
National Aluminium Co. Ltd.,NATIONALUM,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
Nava Ltd.,NAVA,Utilities,Power,Power,Power Generation
Navin Fluorine International Ltd.,NAVINFLUOR,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
Netweb Technologies India Ltd.,NETWEB,Information Technology,Information Technology,IT - Services,IT Enabled Services
Network18 Media & Investments Ltd.,NETWORK18,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Newgen Software Technologies Ltd.,NEWGEN,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,Financial Services,Capital Markets,Asset Management Company
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Financial Services,Financial Services,Insurance,General Insurance
Nuvama Wealth Management Ltd.,NUVAMA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
Oberoi Realty Ltd.,OBEROIRLTY,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Oil & Natural Gas Corporation Ltd.,ONGC,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
Oil India Ltd.,OIL,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
Ola Electric Mobility Ltd.,OLAELEC,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
Olectra Greentech Ltd.,OLECTRA,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
One 97 Communications Ltd.,PAYTM,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
Oracle Financial Services Software Ltd.,OFSS,Information Technology,Information Technology,IT - Software,Software Products
PB Fintech Ltd.,POLICYBZR,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
PCBL Chemical Ltd.,PCBL,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black
PG Electroplast Ltd.,PGEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
PI Industries Ltd.,PIIND,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,Financial Services,Finance,Housing Finance Company
PNC Infratech Ltd.,PNCINFRA,Industrials,Construction,Construction,Civil Construction
PTC Industries Ltd.,PTCIL,Industrials,Capital Goods,Industrial Products,Other Industrial Products
PVR INOX Ltd.,PVRINOX,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition
Page Industries Ltd.,PAGEIND,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
Persistent Systems Ltd.,PERSISTENT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Petronet LNG Ltd.,PETRONET,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
Pfizer Ltd.,PFIZER,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Phoenix Mills Ltd.,PHOENIXLTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Pidilite Industries Ltd.,PIDILITIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Piramal Enterprises Ltd.,PEL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Piramal Pharma Ltd.,PPLPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Poly Medicure Ltd.,POLYMED,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Polycab India Ltd.,POLYCAB,Industrials,Capital Goods,Industrial Products,Cables - Electricals
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Power Finance Corporation Ltd.,PFC,Financial Services,Financial Services,Finance,Financial Institution
Power Grid Corporation of India Ltd.,POWERGRID,Utilities,Power,Power,Power - Transmission
Praj Industries Ltd.,PRAJIND,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
Premier Energies Ltd.,PREMIERENE,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
Prestige Estates Projects Ltd.,PRESTIGE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Punjab National Bank,PNB,Financial Services,Financial Services,Banks,Public Sector Bank
R R Kabel Ltd.,RRKABEL,Industrials,Capital Goods,Industrial Products,Cables - Electricals
RBL Bank Ltd.,RBLBANK,Financial Services,Financial Services,Banks,Private Sector Bank
REC Ltd.,RECLTD,Financial Services,Financial Services,Finance,Financial Institution
RHI MAGNESITA INDIA LTD.,RHIM,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
RITES Ltd.,RITES,Industrials,Construction,Construction,Civil Construction
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
Rail Vikas Nigam Ltd.,RVNL,Industrials,Construction,Construction,Civil Construction
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare,Healthcare,Healthcare Services,Hospital
Ramkrishna Forgings Ltd.,RKFORGE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
RattanIndia Enterprises Ltd.,RTNINDIA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
Raymond Lifestyle Ltd.,RAYMONDLSL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Raymond Ltd.,RAYMOND,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Redington Ltd.,REDINGTON,Services,Services,Commercial Services & Supplies,Trading & Distributors
Reliance Industries Ltd.,RELIANCE,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
Reliance Power Ltd.,RPOWER,Utilities,Power,Power,Power Generation
Route Mobile Ltd.,ROUTE,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
SBFC Finance Ltd.,SBFC,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,Financial Services,Insurance,Life Insurance
SJVN Ltd.,SJVN,Utilities,Power,Power,Power Generation
SKF India Ltd.,SKFINDIA,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
SRF Ltd.,SRF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Sagility India Ltd.,SAGILITY,Information Technology,Information Technology,IT - Services,IT Enabled Services
Sai Life Sciences Ltd.,SAILIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sammaan Capital Ltd.,SAMMAANCAP,Financial Services,Financial Services,Finance,Housing Finance Company
Samvardhana Motherson International Ltd.,MOTHERSON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
Sarda Energy and Minerals Ltd.,SARDAEN,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Saregama India Ltd,SAREGAMA,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
Schaeffler India Ltd.,SCHAEFFLER,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Schneider Electric Infrastructure Ltd.,SCHNEIDER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Shipping Corporation of India Ltd.,SCI,Services,Services,Transport Services,Shipping
Shree Cement Ltd.,SHREECEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Shriram Finance Ltd.,SHRIRAMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Shyam Metalics and Energy Ltd.,SHYAMMETL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
Siemens Ltd.,SIEMENS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Signatureglobal (India) Ltd.,SIGNATURE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Sobha Ltd.,SOBHA,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Solar Industries India Ltd.,SOLARINDS,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
Sona BLW Precision Forgings Ltd.,SONACOMS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Sonata Software Ltd.,SONATSOFTW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,Financial Services,Insurance,General Insurance
State Bank of India,SBIN,Financial Services,Financial Services,Banks,Public Sector Bank
Steel Authority of India Ltd.,SAIL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Industrials,Construction,Construction,Civil Construction
Sumitomo Chemical India Ltd.,SUMICHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sun TV Network Ltd.,SUNTV,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Sundram Fasteners Ltd.,SUNDRMFAST,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Supreme Industries Ltd.,SUPREMEIND,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
Suzlon Energy Ltd.,SUZLON,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Swan Energy Ltd.,SWANENERGY,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
Swiggy Ltd.,SWIGGY,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
Syngene International Ltd.,SYNGENE,Healthcare,Healthcare,Healthcare Services,Healthcare Research Analytics & Technology
Syrma SGS Technology Ltd.,SYRMA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
TBO Tek Ltd.,TBOTEK,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services
TVS Motor Company Ltd.,TVSMOTOR,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
Tanla Platforms Ltd.,TANLA,Information Technology,Information Technology,IT - Software,Software Products
Tata Chemicals Ltd.,TATACHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Tata Communications Ltd.,TATACOMM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
Tata Consultancy Services Ltd.,TCS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
Tata Elxsi Ltd.,TATAELXSI,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services,Financial Services,Finance,Investment Company
Tata Motors Ltd.,TATAMOTORS,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
Tata Power Co. Ltd.,TATAPOWER,Utilities,Power,Power,Integrated Power Utilities
Tata Steel Ltd.,TATASTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Tata Technologies Ltd.,TATATECH,Information Technology,Information Technology,IT - Services,IT Enabled Services
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
Tech Mahindra Ltd.,TECHM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Techno Electric & Engineering Company Ltd.,TECHNOE,Industrials,Construction,Construction,Civil Construction
Tejas Networks Ltd.,TEJASNET,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
The New India Assurance Company Ltd.,NIACL,Financial Services,Financial Services,Insurance,General Insurance
The Ramco Cements Ltd.,RAMCOCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
Thermax Ltd.,THERMAX,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Timken India Ltd.,TIMKEN,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
Titagarh Rail Systems Ltd.,TITAGARH,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons
Titan Company Ltd.,TITAN,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Torrent Power Ltd.,TORNTPOWER,Utilities,Power,Power,Integrated Power Utilities
Transformers And Rectifiers (India) Ltd.,TARIL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Trent Ltd.,TRENT,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
Trident Ltd.,TRIDENT,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Triveni Turbine Ltd.,TRITURBINE,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Tube Investments of India Ltd.,TIINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
UCO Bank,UCOBANK,Financial Services,Financial Services,Banks,Public Sector Bank
UNO Minda Ltd.,UNOMINDA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
UPL Ltd.,UPL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
UltraTech Cement Ltd.,ULTRACEMCO,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
Union Bank of India,UNIONBANK,Financial Services,Financial Services,Banks,Public Sector Bank
United Breweries Ltd.,UBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
United Spirits Ltd.,UNITDSPR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
Usha Martin Ltd.,USHAMART,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
V-Guard Industries Ltd.,VGUARD,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Valor Estate Ltd.,DBREALTY,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
Vardhman Textiles Ltd.,VTL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages
Vedant Fashions Ltd.,MANYAVAR,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
Vedanta Ltd.,VEDL,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
Vishal Mega Mart Ltd.,VMM,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
Vodafone Idea Ltd.,IDEA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
Voltas Ltd.,VOLTAS,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Waaree Energies Ltd.,WAAREEENER,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
Welspun Corp Ltd.,WELCORP,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
Welspun Living Ltd.,WELSPUNLIV,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Westlife Foodworld Ltd.,WESTLIFE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Wipro Ltd.,WIPRO,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Wockhardt Ltd.,WOCKPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yes Bank Ltd.,YESBANK,Financial Services,Financial Services,Banks,Private Sector Bank
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Zee Entertainment Enterprises Ltd.,ZEEL,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
Zen Technologies Ltd.,ZENTEC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
eClerx Services Ltd.,ECLERX,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
